"playerid","age_first_game","age_last_game","career_length"
"perryga01","23 years 6 mons 29 days","45 years 6 days","21 years 5 mons 7 days"
"dykesji01","21 years 5 mons 26 days","42 years 10 mons 21 days","21 years 4 mons 26 days"
"bondsba01","21 years 10 mons 6 days","43 years 2 mons 2 days","21 years 3 mons 27 days"
"jonessa01","21 years 10 mons 18 days","43 years 2 mons 2 days","21 years 3 mons 15 days"
"kalinal01","18 years 6 mons 6 days","39 years 9 mons 14 days","21 years 3 mons 7 days"
"killeha01","17 years 11 mons 24 days","39 years 2 mons 27 days","21 years 3 mons 3 days"
"clarkfr01","21 years 8 mons 27 days","42 years 11 mons 20 days","21 years 2 mons 23 days"
"vernomi01","21 years 2 mons 16 days","42 years 5 mons 5 days","21 years 2 mons 19 days"
"ottme01","17 years 1 mon 25 days","38 years 4 mons 9 days","21 years 2 mons 14 days"
"thompsa01","25 years 3 mons 28 days","46 years 6 mons 5 days","21 years 2 mons 8 days"
"francjo01","23 years 7 mons 7 days","44 years 9 mons 14 days","21 years 2 mons 7 days"
"smoltjo01","21 years 2 mons 8 days","42 years 4 mons 15 days","21 years 2 mons 7 days"
"youngcy01","23 years 4 mons 8 days","44 years 6 mons 8 days","21 years 2 mons"
"griffke02","19 years 4 mons 12 days","40 years 6 mons 10 days","21 years 1 mon 28 days"
"rixeyep01","21 years 1 mon 18 days","42 years 3 mons 2 days","21 years 1 mon 14 days"
"sewellu01","20 years 5 mons 25 days","41 years 6 mons 27 days","21 years 1 mon 1 day"
"thomeji01","21 years 8 days","42 years 1 mon 7 days","21 years 29 days"
"sheffga01","19 years 9 mons 15 days","40 years 10 mons 12 days","21 years 27 days"
"mccarti01","17 years 10 mons 25 days","38 years 11 mons 20 days","21 years 25 days"
"nettlgr01","23 years 17 days","44 years 1 mon 12 days","21 years 25 days"
"johnsra05","25 years 5 days","46 years 24 days","21 years 19 days"
"mitchcl01","20 years 3 mons 8 days","41 years 3 mons 27 days","21 years 19 days"
"niekrjo01","22 years 5 mons 9 days","43 years 5 mons 22 days","21 years 13 days"
"morgajo02","20 years 2 days","41 years 11 days","21 years 9 days"
"valoel01","19 years 6 mons 17 days","40 years 6 mons 27 days","21 years 9 days"
"reussje01","20 years 3 mons 8 days","41 years 3 mons 14 days","21 years 6 days"
"beckbo01","19 years 11 mons 6 days","40 years 11 mons 10 days","21 years 4 days"
"glavito02","21 years 4 mons 23 days","42 years 4 mons 20 days","20 years 11 mons 28 days"
"speaktr01","19 years 5 mons 8 days","40 years 4 mons 26 days","20 years 11 mons 18 days"
"mccovwi01","21 years 6 mons 20 days","42 years 5 mons 27 days","20 years 11 mons 7 days"
"luquedo01","23 years 9 mons 16 days","44 years 8 mons 22 days","20 years 11 mons 6 days"
"phillda01","21 years 3 mons 21 days","42 years 2 mons 21 days","20 years 11 mons"
"ruthba01","19 years 5 mons 5 days","40 years 3 mons 24 days","20 years 10 mons 19 days"
"bucknbi01","19 years 9 mons 7 days","40 years 5 mons 16 days","20 years 8 mons 9 days"
"gordoto01","20 years 9 mons 20 days","41 years 5 mons 15 days","20 years 7 mons 25 days"
"cavarph01","18 years 1 mon 28 days","38 years 9 mons 20 days","20 years 7 mons 22 days"
"peitzhe01","21 years 10 mons 17 days","42 years 6 mons 3 days","20 years 7 mons 17 days"
"dahlebi01","21 years 3 mons 17 days","41 years 9 mons 7 days","20 years 5 mons 20 days"
"molitpa01","21 years 7 mons 16 days","42 years 1 mon 5 days","20 years 5 mons 20 days"
"austiji01","29 years 4 mons 11 days","49 years 9 mons 29 days","20 years 5 mons 17 days"
"murraed02","21 years 1 mon 12 days","41 years 6 mons 25 days","20 years 5 mons 13 days"
"evansda01","21 years 10 mons 25 days","42 years 4 mons 6 days","20 years 5 mons 11 days"
"hawkila01","22 years 4 mons 8 days","42 years 9 mons 13 days","20 years 5 mons 4 days"
"robinfr02","20 years 7 mons 17 days","41 years 18 days","20 years 5 mons 1 day"
"batismi01","21 years 1 mon 20 days","41 years 6 mons 20 days","20 years 5 mons"
"foxxji01","17 years 6 mons 10 days","37 years 11 mons 1 day","20 years 4 mons 22 days"
"motama01","24 years 1 mon 26 days","44 years 6 mons 11 days","20 years 4 mons 15 days"
"donovbi01","21 years 6 mons 9 days","41 years 10 mons 20 days","20 years 4 mons 10 days"
"vanceda01","24 years 1 mon 12 days","44 years 5 mons 10 days","20 years 3 mons 28 days"
"jacksre01","21 years 22 days","41 years 4 mons 17 days","20 years 3 mons 25 days"
"adamsba01","23 years 11 mons","44 years 2 mons 24 days","20 years 3 mons 23 days"
"rodriiv01","19 years 6 mons 23 days","39 years 10 mons 1 day","20 years 3 mons 8 days"
"beltrad01","19 years 2 mons 17 days","39 years 5 mons 23 days","20 years 3 mons 6 days"
"wellsda01","24 years 1 mon 10 days","44 years 4 mons 8 days","20 years 2 mons 28 days"
"wilheho01","29 years 8 mons 23 days","49 years 11 mons 15 days","20 years 2 mons 22 days"
"simmoal01","21 years 10 mons 24 days","42 years 1 mon 10 days","20 years 2 mons 16 days"
"fellebo01","17 years 8 mons 16 days","37 years 10 mons 27 days","20 years 2 mons 11 days"
"brettge01","20 years 2 mons 18 days","40 years 4 mons 19 days","20 years 2 mons 1 day"
"mclisca01","18 years 5 mons 12 days","38 years 7 mons 13 days","20 years 2 mons 1 day"
"wagneho01","23 years 4 mons 23 days","43 years 6 mons 21 days","20 years 1 mon 29 days"
"johnswa01","19 years 8 mons 26 days","39 years 10 mons 24 days","20 years 1 mon 28 days"
"ripkeca01","20 years 11 mons 17 days","41 years 1 mon 13 days","20 years 1 mon 27 days"
"grimmch01","17 years 11 mons 2 days","38 years 26 days","20 years 1 mon 24 days"
"crossla01","20 years 11 mons 11 days","41 years 27 days","20 years 1 mon 15 days"
"sierrru01","20 years 7 mons 26 days","40 years 9 mons 3 days","20 years 1 mon 8 days"
"rhodear01","21 years 9 mons 28 days","41 years 11 mons 3 days","20 years 1 mon 6 days"
"oliveda02","22 years 10 mons 26 days","42 years 11 mons 23 days","20 years 28 days"
"leonadu02","24 years 5 mons 6 days","44 years 6 mons","20 years 25 days"
"mcdanli01","19 years 8 mons 20 days","39 years 9 mons 14 days","20 years 25 days"
"tananfr01","20 years 2 mons 6 days","40 years 2 mons 29 days","20 years 22 days"
"applilu01","23 years 5 mons 8 days","43 years 5 mons 29 days","20 years 21 days"
"mesajo01","21 years 3 mons 19 days","41 years 4 mons 7 days","20 years 19 days"
"dawsoan01","22 years 2 mons 1 day","42 years 2 mons 19 days","20 years 18 days"
"ofarrbo01","18 years 10 mons 17 days","38 years 11 mons 4 days","20 years 18 days"
"stargwi01","22 years 6 mons 10 days","42 years 6 mons 28 days","20 years 17 days"
"darwida01","22 years 10 mons 14 days","42 years 10 mons 28 days","20 years 14 days"
"fairlro01","20 years 1 mon 28 days","40 years 2 mons 11 days","20 years 14 days"
"lajoina01","21 years 11 mons 7 days","41 years 11 mons 21 days","20 years 14 days"
"simmote01","19 years 1 mon 12 days","39 years 1 mon 24 days","20 years 11 days"
"caldwea01","23 years 4 mons 29 days","43 years 5 mons 6 days","20 years 7 days"
"simmocu01","18 years 4 mons 9 days","38 years 4 mons 13 days","20 years 3 days"
"mulhote01","23 years 2 mons 30 days","43 years 2 mons 25 days","19 years 11 mons 25 days"
"gowdyha01","21 years 20 days","41 years 5 days","19 years 11 mons 16 days"
"dicksmu01","23 years 1 mon 9 days","43 years 24 days","19 years 11 mons 14 days"
"gonzami01","22 years 4 days","41 years 11 mons 13 days","19 years 11 mons 9 days"
"leachto01","20 years 10 mons 24 days","40 years 9 mons 28 days","19 years 11 mons 4 days"
"perezol01","20 years 10 mons 1 day","40 years 8 mons 9 days","19 years 10 mons 8 days"
"carisfr01","21 years 9 mons 17 days","41 years 7 mons 20 days","19 years 10 mons 4 days"
"hoytwa01","18 years 10 mons 15 days","38 years 8 mons 6 days","19 years 9 mons 22 days"
"pinielo01","21 years 7 days","40 years 9 mons 19 days","19 years 9 mons 12 days"
"honeyri01","23 years 1 mon 25 days","42 years 10 mons 3 days","19 years 8 mons 9 days"
"hodgegi01","19 years 5 mons 29 days","39 years 1 mon 1 day","19 years 7 mons 2 days"
"durocle01","20 years 2 mons 6 days","39 years 8 mons 22 days","19 years 6 mons 16 days"
"yountro01","18 years 6 mons 19 days","38 years 17 days","19 years 5 mons 28 days"
"hartnga01","21 years 3 mons 23 days","40 years 9 mons 4 days","19 years 5 mons 12 days"
"halldi01","21 years 6 mons 18 days","40 years 11 mons 28 days","19 years 5 mons 10 days"
"rogerke01","24 years 4 mons 26 days","43 years 10 mons 4 days","19 years 5 mons 8 days"
"mcgratu01","20 years 7 mons 19 days","40 years 26 days","19 years 5 mons 7 days"
"seaveto01","22 years 4 mons 26 days","41 years 10 mons 2 days","19 years 5 mons 6 days"
"faberre01","25 years 7 mons 11 days","45 years 14 days","19 years 5 mons 3 days"
"hermaba01","22 years 9 mons 18 days","42 years 2 mons 20 days","19 years 5 mons 2 days"
"whitede01","23 years 5 mons 2 days","42 years 10 mons 2 days","19 years 5 mons"
"giambja01","24 years 4 mons","43 years 8 mons 19 days","19 years 4 mons 19 days"
"hardeme01","18 years 6 mons 9 days","37 years 10 mons 23 days","19 years 4 mons 13 days"
"jonesfi01","24 years 8 mons 5 days","44 years 19 days","19 years 4 mons 13 days"
"downibr01","22 years 7 mons 22 days","41 years 11 mons 26 days","19 years 4 mons 4 days"
"scheifr01","21 years 10 mons 11 days","41 years 2 mons 15 days","19 years 4 mons 4 days"
"piercbi02","18 years 1 mon 29 days","37 years 6 mons 1 day","19 years 4 mons 2 days"
"jeterde01","20 years 11 mons 3 days","40 years 3 mons 2 days","19 years 3 mons 30 days"
"davisge01","19 years 7 mons 27 days","38 years 11 mons 23 days","19 years 3 mons 26 days"
"dalyto01","18 years 4 mons 2 days","37 years 7 mons 20 days","19 years 3 mons 18 days"
"cabremi01","20 years 2 mons 2 days","39 years 5 mons 16 days","19 years 3 mons 14 days"
"biggicr01","22 years 6 mons 12 days","41 years 9 mons 16 days","19 years 3 mons 4 days"
"callani01","20 years 1 mon 25 days","39 years 4 mons 22 days","19 years 2 mons 28 days"
"ruelmu01","19 years 3 mons 9 days","38 years 6 mons 5 days","19 years 2 mons 27 days"
"stiebda01","21 years 11 mons 7 days","41 years 2 mons 3 days","19 years 2 mons 26 days"
"gwynnto01","22 years 2 mons 10 days","41 years 4 mons 29 days","19 years 2 mons 19 days"
"hinespa01","17 years 1 mon 19 days","36 years 4 mons 2 days","19 years 2 mons 13 days"
"campabe01","22 years 4 mons 14 days","41 years 6 mons 23 days","19 years 2 mons 9 days"
"zimmech01","23 years 7 mons 25 days","42 years 10 mons 4 days","19 years 2 mons 9 days"
"johnsja01","20 years 8 mons 10 days","39 years 10 mons 16 days","19 years 2 mons 7 days"
"wakefti01","25 years 11 mons 29 days","45 years 1 mon 23 days","19 years 1 mon 25 days"
"stairma01","24 years 3 mons 2 days","43 years 4 mons 24 days","19 years 1 mon 24 days"
"blackle01","23 years 5 mons 22 days","42 years 7 mons 13 days","19 years 1 mon 21 days"
"haineje01","24 years 11 mons 29 days","44 years 1 mon 19 days","19 years 1 mon 21 days"
"orourfr01","20 years 6 mons 13 days","39 years 8 mons","19 years 1 mon 17 days"
"alexape01","24 years 1 mon 17 days","43 years 3 mons 2 days","19 years 1 mon 13 days"
"galaran01","24 years 2 mons 5 days","43 years 3 mons 15 days","19 years 1 mon 11 days"
"ricesa01","25 years 5 mons 15 days","44 years 6 mons 26 days","19 years 1 mon 11 days"
"ortizda01","21 years 9 mons 14 days","40 years 10 mons 14 days","19 years 1 mon"
"stanaos01","23 years 2 mons 2 days","42 years 3 mons","19 years 29 days"
"palmeji01","19 years 6 mons 2 days","38 years 6 mons 28 days","19 years 25 days"
"daviswi02","20 years 4 mons 23 days","39 years 5 mons 15 days","19 years 22 days"
"jonesch06","21 years 4 mons 17 days","40 years 5 mons 9 days","19 years 22 days"
"lakefr01","24 years 6 mons 22 days","43 years 7 mons 12 days","19 years 21 days"
"seaneru01","20 years 10 mons 18 days","39 years 11 mons 8 days","19 years 21 days"
"evansdw01","20 years 10 mons 13 days","39 years 11 mons 3 days","19 years 20 days"
"trammal01","19 years 6 mons 16 days","38 years 7 mons 8 days","19 years 20 days"
"schilcu01","21 years 9 mons 23 days","40 years 10 mons 11 days","19 years 18 days"
"beltrca01","21 years 4 mons 20 days","40 years 5 mons 7 days","19 years 17 days"
"garbege01","21 years 7 mons 4 days","40 years 7 mons 18 days","19 years 14 days"
"johnssi01","21 years 11 mons 6 days","40 years 11 mons 20 days","19 years 14 days"
"joosted01","20 years 3 mons 6 days","39 years 3 mons 20 days","19 years 14 days"
"wanerpa01","22 years 11 mons 27 days","42 years 10 days","19 years 13 days"
"sukefcl01","24 years 6 mons 1 day","43 years 6 mons 7 days","19 years 7 days"
"mcraeha01","23 years 1 day","42 years 7 days","19 years 6 days"
"merklfr01","18 years 9 mons 1 day","37 years 9 mons 6 days","19 years 5 days"
"perkicy01","19 years 6 mons 27 days","38 years 7 mons 3 days","19 years 5 days"
"alomasa02","22 years 3 mons 12 days","41 years 3 mons 12 days","19 years"
"hemslro01","20 years 9 mons 25 days","39 years 9 mons 23 days","18 years 11 mons 28 days"
"careyma01","20 years 8 mons 23 days","39 years 8 mons 18 days","18 years 11 mons 26 days"
"becklja01","20 years 10 mons 16 days","39 years 10 mons 11 days","18 years 11 mons 25 days"
"woodlge01","21 years 1 mon 7 days","40 years 1 mon","18 years 11 mons 23 days"
"palmera01","21 years 11 mons 14 days","40 years 11 mons 6 days","18 years 11 mons 22 days"
"haywora01","22 years 4 mons 29 days","41 years 4 mons 20 days","18 years 11 mons 21 days"
"cronijo01","19 years 6 mons 17 days","38 years 6 mons 7 days","18 years 11 mons 20 days"
"lopezal01","20 years 1 mon 7 days","39 years 27 days","18 years 11 mons 19 days"
"winegra01","20 years 10 mons 22 days","39 years 9 mons 23 days","18 years 11 mons 1 day"
"anderla02","22 years 3 mons 30 days","41 years 2 mons 25 days","18 years 10 mons 26 days"
"mcbrige01","20 years 9 mons 22 days","39 years 8 mons 9 days","18 years 10 mons 17 days"
"waltebu01","22 years 4 mons 28 days","41 years 3 mons 4 days","18 years 10 mons 6 days"
"reuscri01","23 years 1 mon 3 days","41 years 11 mons 6 days","18 years 10 mons 3 days"
"sugdejo01","22 years 11 mons 20 days","41 years 9 mons 18 days","18 years 9 mons 29 days"
"heganji01","21 years 1 mon 6 days","39 years 11 mons 1 day","18 years 9 mons 25 days"
"brownke01","21 years 6 mons 16 days","40 years 4 mons 9 days","18 years 9 mons 23 days"
"kressre01","22 years 8 mons 22 days","41 years 6 mons 15 days","18 years 9 mons 23 days"
"battijo01","17 years 9 mons","36 years 6 mons 17 days","18 years 9 mons 17 days"
"merckke01","21 years 7 mons 21 days","40 years 3 mons 29 days","18 years 8 mons 8 days"
"cramedo01","24 years 1 mon 27 days","42 years 9 mons 21 days","18 years 7 mons 24 days"
"bartedi01","19 years 10 mons 10 days","38 years 6 mons 2 days","18 years 7 mons 22 days"
"judgejo01","21 years 3 mons 26 days","39 years 11 mons 18 days","18 years 7 mons 22 days"
"berrayo01","21 years 4 mons 10 days","39 years 11 mons 28 days","18 years 7 mons 17 days"
"santibe01","21 years 6 mons 5 days","40 years 1 mon 2 days","18 years 6 mons 27 days"
"gaettga01","23 years 1 mon 1 day","41 years 7 mons 24 days","18 years 6 mons 22 days"
"carewro01","21 years 6 mons 10 days","40 years 4 days","18 years 5 mons 24 days"
"speiech01","20 years 9 mons 9 days","39 years 3 mons 3 days","18 years 5 mons 24 days"
"surhobj01","22 years 8 mons 4 days","41 years 1 mon 29 days","18 years 5 mons 24 days"
"davisch01","21 years 2 mons 24 days","39 years 8 mons 17 days","18 years 5 mons 23 days"
"rijojo01","18 years 10 mons 23 days","37 years 4 mons 15 days","18 years 5 mons 23 days"
"smithoz01","23 years 3 mons 12 days","41 years 9 mons 3 days","18 years 5 mons 22 days"
"jonesdo01","24 years 9 mons 15 days","43 years 3 mons 5 days","18 years 5 mons 20 days"
"sabatcc01","20 years 8 mons 18 days","39 years 2 mons 3 days","18 years 5 mons 16 days"
"wingoiv01","20 years 9 mons 12 days","39 years 2 mons 29 days","18 years 5 mons 16 days"
"tayloto02","22 years 3 mons 27 days","40 years 9 mons 10 days","18 years 5 mons 14 days"
"burgesm01","22 years 2 mons 13 days","40 years 7 mons 23 days","18 years 5 mons 12 days"
"conceda01","21 years 9 mons 19 days","40 years 2 mons 28 days","18 years 5 mons 9 days"
"wanerll01","21 years 27 days","39 years 6 mons","18 years 5 mons 4 days"
"bentoal01","23 years 1 mon","41 years 6 mons 3 days","18 years 5 mons 3 days"
"mayru01","20 years 9 mons","39 years 2 mons 3 days","18 years 5 mons 3 days"
"reesepe01","21 years 9 mons","40 years 2 mons 3 days","18 years 5 mons 3 days"
"pettian01","22 years 10 mons 14 days","41 years 3 mons 13 days","18 years 4 mons 29 days"
"ferreri01","23 years 6 mons 7 days","41 years 11 mons 2 days","18 years 4 mons 25 days"
"riddljo02","24 years 6 mons 14 days","42 years 11 mons 8 days","18 years 4 mons 24 days"
"walkedi02","20 years 7 mons 4 days","38 years 11 mons 28 days","18 years 4 mons 24 days"
"johnssy01","21 years 3 mons 24 days","39 years 8 mons 14 days","18 years 4 mons 20 days"
"troutdi01","23 years 9 mons 26 days","42 years 2 mons 12 days","18 years 4 mons 16 days"
"lisenho01","28 years 7 mons","46 years 11 mons 14 days","18 years 4 mons 14 days"
"rootch01","24 years 1 mon 1 day","42 years 5 mons 16 days","18 years 4 mons 14 days"
"greinza01","20 years 7 mons 1 day","38 years 11 mons 13 days","18 years 4 mons 12 days"
"wilheka01","26 years 2 mons 23 days","44 years 7 mons","18 years 4 mons 8 days"
"koosmje01","24 years 3 mons 22 days","42 years 7 mons 29 days","18 years 4 mons 7 days"
"riverma01","25 years 5 mons 24 days","43 years 9 mons 27 days","18 years 4 mons 3 days"
"molinya01","21 years 10 mons 21 days","40 years 2 mons 23 days","18 years 4 mons 2 days"
"mcinnst01","18 years 6 mons 23 days","36 years 10 mons 12 days","18 years 3 mons 19 days"
"sprinru01","23 years 5 mons 10 days","41 years 8 mons 27 days","18 years 3 mons 17 days"
"sosasa01","20 years 7 mons 4 days","38 years 10 mons 17 days","18 years 3 mons 13 days"
"elybo01","21 years 12 days","39 years 3 mons 17 days","18 years 3 mons 5 days"
"alexado01","20 years 9 mons 22 days","39 years 23 days","18 years 3 mons 1 day"
"schofdi01","18 years 5 mons 27 days","36 years 8 mons 23 days","18 years 2 mons 27 days"
"bressru01","19 years 6 mons 1 day","37 years 8 mons 26 days","18 years 2 mons 24 days"
"wrighja01","21 years 6 mons 10 days","39 years 9 mons 3 days","18 years 2 mons 24 days"
"osteecl01","17 years 10 mons 28 days","36 years 1 mon 18 days","18 years 2 mons 21 days"
"parkeda01","22 years 1 mon 3 days","40 years 3 mons 23 days","18 years 2 mons 21 days"
"schoere01","22 years 2 mons 15 days","40 years 5 mons 5 days","18 years 2 mons 20 days"
"roberro01","21 years 8 mons 18 days","39 years 11 mons 3 days","18 years 2 mons 15 days"
"mcaleji01","24 years 9 mons 14 days","42 years 11 mons 29 days","18 years 2 mons 14 days"
"nelsoca01","23 years 2 mons 28 days","41 years 5 mons 11 days","18 years 2 mons 14 days"
"willicy01","24 years 6 mons 28 days","42 years 9 mons 1 day","18 years 2 mons 4 days"
"weathda01","21 years 10 mons 7 days","40 years 8 days","18 years 2 mons 1 day"
"coffmdi01","20 years 4 mons 10 days","38 years 6 mons 10 days","18 years 2 mons"
"finlest01","24 years 22 days","42 years 2 mons 22 days","18 years 2 mons"
"mcgrifr01","22 years 6 mons 17 days","40 years 8 mons 15 days","18 years 1 mon 29 days"
"ibanera01","24 years 1 mon 29 days","42 years 3 mons 26 days","18 years 1 mon 27 days"
"klinero01","20 years 1 mon 12 days","38 years 3 mons 4 days","18 years 1 mon 22 days"
"larkiba01","22 years 3 mons 15 days","40 years 5 mons 5 days","18 years 1 mon 21 days"
"friscfr01","21 years 9 mons 8 days","39 years 10 mons 26 days","18 years 1 mon 18 days"
"foxne01","19 years 5 mons 14 days","37 years 7 mons","18 years 1 mon 17 days"
"tiantlu01","23 years 7 mons 26 days","41 years 9 mons 11 days","18 years 1 mon 16 days"
"schanwa01","23 years 8 mons 18 days","41 years 10 mons","18 years 1 mon 13 days"
"hunteto01","22 years 1 mon 4 days","40 years 2 mons 16 days","18 years 1 mon 12 days"
"bresnro01","18 years 2 mons 16 days","36 years 3 mons 22 days","18 years 1 mon 7 days"
"roushed01","20 years 3 mons 12 days","38 years 4 mons 19 days","18 years 1 mon 7 days"
"stantmi02","22 years 2 mons 22 days","40 years 3 mons 28 days","18 years 1 mon 6 days"
"fernato01","21 years 2 mons 2 days","39 years 3 mons 7 days","18 years 1 mon 5 days"
"lloydpo99","28 years 3 mons 29 days","46 years 5 mons 3 days","18 years 1 mon 4 days"
"turnete01","20 years 5 mons 25 days","38 years 7 mons 1 day","18 years 1 mon 4 days"
"candejo01","21 years 7 mons 2 days","39 years 8 mons 1 day","18 years 29 days"
"abreubo01","22 years 5 mons 21 days","40 years 6 mons 17 days","18 years 27 days"
"bakerdu01","19 years 2 mons 22 days","37 years 3 mons 19 days","18 years 27 days"
"thomafr04","22 years 2 mons 6 days","40 years 3 mons 2 days","18 years 27 days"
